Município;Ano;Produtividade media;Operação com máquinas;Mão-de-obra temporária;Sementes       ;Fertilizantes  ;Defensivos     ;Juros
Barreiras;2006;6600;209,1;5;210,4;435,1;163,9;51,2
Barreiras;2007;6600;209,1;16,9;194,4;469;475,9;53,5
Barreiras;2008;6600;197;18,8;216;686,8;495,7;63,3
Barreiras;2009;6600;233,3;19,9;236,5;629,7;530,8;51,1
Barreiras;2010;6600;214,9;18,9;365,4;513,7;491,4;49,6
Barreiras;2011;6600;156;15,9;410;697,3;473,8;118,2
Barreiras;2012;6600;164,4;15,9;450;814,5;480,4;126,3
Barreiras;2013;8400;52,2;3;576;1142;203,6;198,9
Barreiras;2014;8400;96,8;2,7;743,4;1135,3;238,6;272,9
Barreiras;2015;8400;106,9;28,6;672;1050;217,6;316,9
Barreiras;2016;8400;111,7;2,9;576;1132,4;220;319,2
Barreiras;2017;8400;111,2;5,5;660;1020;225,8;331,6
Barreiras;2018;8400;131,4;5,5;660;1008;253,1;80,5
Barreiras;2019;8400;134,1;5,5;625,2;1106;269,5;75,3
Barreiras;2020;9600;203,7;1,7;600;1706,8;633,5;95,7
Barreiras;2021;9600;214,1;2;700;2483,8;732,2;87,4
Barreiras;2022;9600;325;2,1;800;5840;1312,1;298
Balsas;2006;5250;171,3;5,4;79,6;446;144,7;49,3
Balsas;2007;5250;175,5;62,7;117,4;468,7;127,4;42,6
Balsas;2008;5250;191,3;7,2;160;1030;112;74
Balsas;2009;5250;188,7;7,2;161,7;790,2;238;54,1
Balsas;2010;5250;170,3;6,1;90;494,8;74,1;136,4
Balsas;2011;5250;173,9;7,2;96;581,3;88;170,2
Balsas;2012;5250;178,6;7,2;96;581,3;108,8;167,2
Balsas;2013;7200;143,6;0;460;809,5;222,6;52,6
Balsas;2014;7200;158,5;0;400;930,3;225,4;57,2
Balsas;2015;7200;197,2;0;440;1085,4;349,8;75,5
Balsas;2016;7200;190,8;0;484;1116,5;291,2;77,1
Balsas;2017;7200;217,1;0;561;951,5;319,1;76,8
Balsas;2018;7200;243,6;0;620;932,5;316,8;76,7
Balsas;2019;7200;238,8;0;513,6;1258,3;301,3;80,3
Balsas;2020;4250;308,4;1,8;400;349;354,4;22,7
Balsas;2021;4250;354,5;1,8;400;572;422,5;18,2
Balsas;2022;4250;514,6;3,6;850;1077,7;784;65,4
Unaí;2006;6000;185,4;0,6;101,9;415,3;244,1;24,1
Unaí;2007;6500;202,4;0,6;118,1;630,1;202,3;30,1
Unaí;2008;6500;209,1;0,8;176;1067,9;249,9;45,5
Unaí;2009;6500;223,8;0,8;185,1;686,7;243,7;55,7
Unaí;2010;6500;221,6;0,9;192;590;205,1;39,1
Unaí;2011;6500;220,2;0,9;203,2;731;157,8;43,5
Unaí;2012;6500;235,8;1,1;199,5;755,1;200,6;45,9
Unaí;2013;6500;246,5;1,5;220;824,2;217,7;40,6
Unaí;2014;9000;164,8;0;576,9;1032,4;473,3;58,2
Unaí;2015;9000;193,7;0;634,3;1128,7;673;90,8
Unaí;2016;9000;198,2;0;634,3;1113,7;674,7;90,8
Unaí;2017;9000;214;0;646;1096,2;686,7;97
Unaí;2018;9000;234,8;0;646;1083,8;699,1;90,6
Unaí;2019;9000;245,6;0;554,5;1222,5;715,7;81,5
Unaí;2020;6000;249,3;0;330,3;608,1;373,1;63,8
Unaí;2021;6000;286,9;0;365,2;850,7;452,1;54,2
Unaí;2022;6000;412,2;0;580,5;2300,4;661,2;187,1
Chapadão do Sul;2006;0;0;0;0;0;0;0
Chapadão do Sul;2007;8000;74,6;0;162,2;290,9;456,6;40,4
Chapadão do Sul;2008;8000;83,8;0;157;587,3;499,5;51,4
Chapadão do Sul;2009;8000;83,6;0;199;387,8;487,2;39,9
Chapadão do Sul;2010;8000;81;0;350;343;388,8;63,9
Chapadão do Sul;2011;8000;84,3;0;371;402,2;344,9;79,9
