variável;município;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
área plantada;Ribeirão ;9800;12000;13000;12500;10000;10000;12000;12000;12000;12000;10000;10129;12000;12000;14800;14800;14800
área plantada;São Miguel dos Campos ;25400;25908;29000;29000;29000;29000;29000;29000;27000;18720;18416;16000;20000;23000;25000;22000;20000
área plantada;São João Evangelista ;310;350;380;410;420;430;430;430;400;440;440;200;190;192;210;180;150
área plantada;Visconde do Rio Branco ;70;80;630;950;950;800;800;800;1000;700;760;560;520;620;576;550;525
área plantada;Penápolis ;31500;32100;38000;38000;41500;41500;37869;33233;32236;32576;30559;26872;32500;38000;37000;19966;21988
área colhida;Ribeirão ;9800;12000;12200;12500;10000;10000;12000;12000;12000;12000;10000;10129;12000;12000;13000;14800;14800
área colhida;São Miguel dos Campos ;25400;25908;29000;29000;29000;29000;29000;29000;27000;18720;18416;16000;20000;23000;25000;22000;20000
área colhida;São João Evangelista ;310;350;380;410;420;430;430;430;400;440;440;200;190;192;210;180;150
área colhida;Visconde do Rio Branco ;70;80;630;950;950;800;800;800;1000;700;760;560;520;620;576;550;525
área colhida;Penápolis ;31500;32100;38000;38000;41500;41500;37869;33233;32236;32576;30559;26872;32500;38000;37000;19966;21988
quant produzida;Ribeirão ;470400;600000;610000;625000;500000;500000;600000;625000;720000;624996;580000;309702;624996;720000;780000;888000;848943
quant produzida;São Miguel dos Campos ;1517232;1621759;1972000;1809136;1682000;2019167;1913991;2015000;1779921;924816;828720;875000;1206500;1423677;1268067;1329129;1220471
quant produzida;São João Evangelista ;18600;21000;25080;28700;29400;30100;25600;25600;24000;26400;26400;9100;7400;7400;8400;6840;6000
quant produzida;Visconde do Rio Branco ;2800;3600;44100;61750;61750;52000;52000;52000;60000;42000;45600;17560;18300;24800;24480;22000;22050
quant produzida;Penápolis ;2250000;2407500;3040000;3040000;3320000;2697500;2840175;2326310;2109201;1695581;2162966;1781076;2154100;2470000;2590000;1397620;1649100
valor produção;Ribeirão ;17875;22002;21442;33750;34500;37000;37176;45500;44640;38750;58168;30970;51250;60480;85800;130536;127341
valor produção;São Miguel dos Campos ;60538;67173;80852;88286;87464;125188;114839;124930;106795;73985;64184;47250;77469;88980;88765;126267;115945
valor produção;São João Evangelista ;1042;1218;1881;2153;2205;1806;1792;1920;1920;2112;2218;1183;1332;1110;1193;1211;1080
valor produção;Visconde do Rio Branco ;112;151;2426;3088;3396;3380;3130;2896;3900;2100;2736;2458;1830;2356;2424;3454;3670
valor produção;Penápolis ;65250;86670;98496;98496;106240;126783;130080;104684;99132;78590;141826;118442;133554;172159;181300;159748;217681
