variável;município;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
área plantada;Balsas ;2400;2400;2592;2548;2654;12235;42768;57237;70169;57783;44308;102442;81067;86440;107670;114833;114930
área plantada;Barreiras ;22700;26870;29850;27450;25945;23670;31058;30495;41674;23200;13000;23809;24109;25130;18598;18723;18598
área plantada;Unaí ;34000;46000;37000;36500;29000;32000;45000;43000;53000;48000;61000;58000;56000;60000;47000;35000;80500
área plantada;Campo Mourão ;11000;13800;16500;17000;8500;9600;17500;17500;11600;12800;9900;14400;5700;15150;17100;20200;19200
área plantada;Londrina ;13700;15000;16500;21420;15420;22720;53000;49330;42000;39000;37500;38000;31000;25600;31100;36650;30500
área plantada;Ubiratã ;21000;36000;45500;48500;35240;47200;52800;51350;49250;37200;39654;50500;48072;52242;52016;51600;53200
área plantada;Passo Fundo ;2900;2300;2200;2300;2000;2500;3500;2100;1600;1200;1000;1000;1400;1400;1400;1400;1400
área plantada;Chapadão do Sul ;17279;23624;30000;36000;31000;25000;31000;48800;38000;40000;38150;40000;34000;34000;34000;34073;49500
área plantada;Primavera do Leste ;32966;69994;73050;71200;84700;88641;97325;112020;115000;115000;109500;114500;94500;101500;100000;150000;185000
área colhida;Balsas ;2400;2400;2592;2548;2654;12235;42768;57237;70169;57783;44308;102442;81067;86440;107670;114833;114930
área colhida;Barreiras ;22700;26870;29850;27450;25945;23670;31058;30495;41674;23200;13000;23809;24109;25130;18598;18723;18598
área colhida;Unaí ;34000;46000;37000;36500;29000;32000;45000;43000;53000;48000;61000;58000;56000;60000;47000;35000;80500
área colhida;Campo Mourão ;11000;13800;16500;17000;8500;9600;17500;17500;11600;12800;9900;14400;5700;15150;17100;20200;19200
área colhida;Londrina ;13700;15000;16500;21420;15420;22720;53000;38398;42000;39000;37500;38000;31000;25600;31100;34900;30500
área colhida;Ubiratã ;21000;36000;45500;48500;35240;47200;52800;51350;49250;37200;39654;50500;48072;52242;52016;51600;53200
área colhida;Passo Fundo ;2900;2300;2200;2300;2000;2500;3400;2100;1600;1200;1000;1000;1400;1400;1400;1400;1400
área colhida;Chapadão do Sul ;17279;23624;30000;36000;31000;25000;31000;48800;38000;40000;38150;40000;34000;34000;34000;34073;49500
área colhida;Primavera do Leste ;32966;69994;73050;71200;84700;88641;97325;112020;115000;115000;104900;114500;94500;101500;100000;150000;185000
quant produzida;Balsas ;12000;16800;18144;17836;18021;85645;171877;297983;329133;291297;127134;447771;299551;440812;627366;677435;631094
quant produzida;Barreiras ;89700;156420;195330;211896;212239;217054;280274;241869;381708;190200;93420;142500;206800;141420;169000;172329;172407
quant produzida;Unaí ;163200;247200;255900;296500;236500;254500;351000;325200;316800;297000;213000;348000;380400;539700;423000;208500;389850
quant produzida;Campo Mourão ;58270;80016;92950;56200;49000;55439;98540;101016;67800;72888;47430;82800;31200;79285;101700;72500;102540
quant produzida;Londrina ;55230;76860;84690;83387;103257;110602;301020;231442;271680;229500;136800;214000;122300;146190;172685;98405;151300
quant produzida;Ubiratã ;119000;119700;192175;165510;201876;223250;288980;279875;268200;242300;246239;302350;266456;389356;281149;258200;266240
quant produzida;Passo Fundo ;17400;16100;13860;11040;16200;22500;12240;13650;10400;10800;9000;9000;10920;12740;5460;12040;5040
quant produzida;Chapadão do Sul ;122009;156595;204000;210600;179600;141408;222000;333900;278400;310400;221250;288000;216000;227400;241600;185545;261900
quant produzida;Primavera do Leste ;157573;310993;366945;385220;407360;382630;588748;683962;704652;736152;442170;732150;579150;693150;660000;837000;1165500
valor produção;Balsas ;3000;5880;7439;5351;5406;42823;74279;128145;117094;111086;97571;165172;167958;210191;443309;756289;862497
valor produção;Barreiras ;28704;52714;74225;59331;63671;85014;131729;92026;143387;75600;61413;48870;104000;71774;138950;147129;225889
valor produção;Unaí ;32640;80340;110037;118600;56760;101800;130950;124446;120014;115225;150480;161220;203748;403529;338339;309113;563384
valor produção;Campo Mourão ;13393;22004;28582;14500;12495;20955;40155;32438;21523;22631;26556;27577;16274;37723;80140;109913;127408
valor produção;Londrina ;11598;21137;22443;22264;26433;37409;130731;68836;101919;80030;72144;64288;62981;65738;163621;136858;191520
valor produção;Ubiratã ;27965;35910;70528;41874;52084;78209;126017;84218;83676;85287;148894;96112;133237;183089;221545;400105;327450
valor produção;Passo Fundo ;3632;4560;5621;3348;4315;9293;5655;6033;3900;3960;3906;3960;4993;6689;4004;15652;8064
valor produção;Chapadão do Sul ;22084;38366;61641;54756;37716;53853;76550;98338;84960;98572;111527;93600;107266;113700;194666;274207;312663
valor produção;Primavera do Leste ;40378;86689;113753;88601;69251;146630;180475;195049;176466;244206;222629;180587;216970;276547;409748;1038073;1320896
