variável;município;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
área plantada;São Gotardo ;130;130;100;120;100;100;208;100;275;275;275;1350;1345;200;480;530;480
área plantada;Cascavel ;5720;7000;13500;15000;13500;9500;4000;10500;26000;26000;35000;22500;62642;33000;55000;26700;26700
área plantada;Londrina ;16155;19200;24990;27500;23740;18700;9500;10262;22000;22000;15200;13200;20000;21970;24500;26500;24500
área plantada;Ubiratã ;8000;6000;4000;2500;4230;4000;1100;4500;7500;19000;20000;1000;4500;16500;5200;800;1000
área plantada;Cruz Alta ;6000;11000;13500;10500;9000;23125;24200;30000;30000;15000;14000;12000;10000;11000;18000;27000;33000
área plantada;Passo Fundo ;3800;4000;4000;3400;3000;3000;3000;3000;3500;2000;2000;1200;1200;1200;1500;1700;10000
área colhida;São Gotardo ;130;130;100;120;100;100;208;100;275;275;275;1350;1345;200;480;530;480
área colhida;Cascavel ;5720;7000;13500;15000;13500;9500;4000;10500;26000;26000;35000;22500;62642;33000;55000;26700;26700
área colhida;Londrina ;16155;19200;24990;27500;23740;18700;9500;10262;22000;22000;15200;13200;20000;21970;24500;26500;24500
área colhida;Ubiratã ;8000;6000;4000;2500;4230;4000;1100;4500;7500;19000;20000;1000;4500;16500;5200;800;1000
área colhida;Cruz Alta ;6000;11000;13500;10500;9000;23125;24200;30000;30000;15000;14000;12000;10000;11000;18000;27000;33000
área colhida;Passo Fundo ;3800;4000;4000;3400;3000;3000;3000;3000;3500;2000;2000;1200;1200;1200;1500;1700;10000
quant produzida;São Gotardo ;546;546;480;576;480;480;908;420;1092;1238;1240;5603;5500;950;1976;2235;2059
quant produzida;Cascavel ;10119;15400;27000;30000;43200;17500;10800;8925;65000;71815;90065;49500;175398;49500;115500;76362;75107
quant produzida;Londrina ;19386;44928;70472;41250;66946;37082;25005;19087;75240;61270;45600;39600;30150;48334;63700;59625;56767
quant produzida;Ubiratã ;10112;16800;10000;5500;11548;5932;2640;7250;22500;44745;60480;990;12510;19800;14789;1200;2500
quant produzida;Cruz Alta ;5400;21780;29970;22050;23400;69375;47916;99000;39600;22500;46200;25200;24000;29700;48600;81000;128700
quant produzida;Passo Fundo ;8740;8400;9600;8160;10800;8100;2700;12000;6300;2400;6600;2160;3240;3120;3300;6800;39000
valor produção;São Gotardo ;246;339;298;691;240;398;557;336;633;743;967;3642;3575;817;2406;3338;3926
valor produção;Cascavel ;2024;7823;11232;12000;18705;8225;4244;7140;39000;36387;56020;27522;130201;38379;115500;114249;115139
valor produção;Londrina ;8142;21565;29598;17160;28117;14833;14048;14506;35137;33392;27656;23087;21768;36589;69752;84668;62444
valor produção;Ubiratã ;4449;8400;4350;2299;4884;2480;1458;4025;12375;26086;38828;528;8332;15236;14745;1759;3958
valor produção;Cruz Alta ;2137;9257;11224;8473;8775;28083;24341;56099;12395;11250;23870;10584;15984;19008;58320;112023;193050
valor produção;Passo Fundo ;3496;3360;3859;2856;3996;3240;1210;7200;2625;1280;3190;972;2160;1768;3848;9078;54600
